"Unicode","character","UTF-8","name","utf_link","download_link","supply","limit_mint","remaining","deploy","sales","holders"
"U+1F367","🍧","f0 9f 8d a7","SHAVED ICE","%F0%9F%8D%A7","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A7",777,1,750,5837548,0,2
"U+1F368","🍨","f0 9f 8d a8","ICE CREAM","%F0%9F%8D%A8","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A8",300,1,300,1008955,0,0
"U+1F369","🍩","f0 9f 8d a9","DOUGHNUT","%F0%9F%8D%A9","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%A9",1000,1,875,445617,0,4
"U+1F36A","🍪","f0 9f 8d aa","COOKIE","%F0%9F%8D%AA","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%AA",1000,1,1000,445614,0,0
"U+1F36B","🍫","f0 9f 8d ab","CHOCOLATE BAR","%F0%9F%8D%AB","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%AB",77,1,0,1613186,0,11
"U+1F36C","🍬","f0 9f 8d ac","CANDY","%F0%9F%8D%AC","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%AC",1,1,0,3558370,0,1
"U+1F36D","🍭","f0 9f 8d ad","LOLLIPOP","%F0%9F%8D%AD","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%AD",500,1,495,1011250,0,1
"U+1F36E","🍮","f0 9f 8d ae","CUSTARD","%F0%9F%8D%AE","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%AE",1,1,0,5106710,0,1
"U+1F36F","🍯","f0 9f 8d af","HONEY POT","%F0%9F%8D%AF","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%AF",21,1,0,464759,0,4
"U+1F370","🍰","f0 9f 8d b0","SHORTCAKE","%F0%9F%8D%B0","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B0",300,1,279,1011242,0,1
