character	Unicode	BORRAR1	BORRAR2	UTF-8	BORRAR3	name	
🐖	U+1F416	&#x1F416;	&#128022;	F0 9F 90 96	\u1F416	Pig
🐗	U+1F417	&#x1F417;	&#128023;	F0 9F 90 97	\u1F417	Boar
🐘	U+1F418	&#x1F418;	&#128024;	F0 9F 90 98	\u1F418	Elephant
🐙	U+1F419	&#x1F419;	&#128025;	F0 9F 90 99	\u1F419	Octopus
🐚	U+1F41A	&#x1F41A;	&#128026;	F0 9F 90 9A	\u1F41A	Spiral Shell
🐛	U+1F41B	&#x1F41B;	&#128027;	F0 9F 90 9B	\u1F41B	Bug
🐜	U+1F41C	&#x1F41C;	&#128028;	F0 9F 90 9C	\u1F41C	Ant
🐝	U+1F41D	&#x1F41D;	&#128029;	F0 9F 90 9D	\u1F41D	Honeybee
🐞	U+1F41E	&#x1F41E;	&#128030;	F0 9F 90 9E	\u1F41E	Lady Beetle
🐟	U+1F41F	&#x1F41F;	&#128031;	F0 9F 90 9F	\u1F41F	Fish
🐠	U+1F420	&#x1F420;	&#128032;	F0 9F 90 A0	\u1F420	Tropical Fish
🐡	U+1F421	&#x1F421;	&#128033;	F0 9F 90 A1	\u1F421	Blowfish
🐢	U+1F422	&#x1F422;	&#128034;	F0 9F 90 A2	\u1F422	Turtle
🐣	U+1F423	&#x1F423;	&#128035;	F0 9F 90 A3	\u1F423	Hatching Chick
🐤	U+1F424	&#x1F424;	&#128036;	F0 9F 90 A4	\u1F424	Baby Chick
🐥	U+1F425	&#x1F425;	&#128037;	F0 9F 90 A5	\u1F425	Front-facing Baby Chick
🐦	U+1F426	&#x1F426;	&#128038;	F0 9F 90 A6	\u1F426	Bird
🐧	U+1F427	&#x1F427;	&#128039;	F0 9F 90 A7	\u1F427	Penguin
🐨	U+1F428	&#x1F428;	&#128040;	F0 9F 90 A8	\u1F428	Koala
🐩	U+1F429	&#x1F429;	&#128041;	F0 9F 90 A9	\u1F429	Poodle
🐪	U+1F42A	&#x1F42A;	&#128042;	F0 9F 90 AA	\u1F42A	Dromedary Camel
🐫	U+1F42B	&#x1F42B;	&#128043;	F0 9F 90 AB	\u1F42B	Bactrian Camel
🐬	U+1F42C	&#x1F42C;	&#128044;	F0 9F 90 AC	\u1F42C	Dolphin
🐭	U+1F42D	&#x1F42D;	&#128045;	F0 9F 90 AD	\u1F42D	Mouse Face
🐮	U+1F42E	&#x1F42E;	&#128046;	F0 9F 90 AE	\u1F42E	Cow Face
🐯	U+1F42F	&#x1F42F;	&#128047;	F0 9F 90 AF	\u1F42F	Tiger Face
🐰	U+1F430	&#x1F430;	&#128048;	F0 9F 90 B0	\u1F430	Rabbit Face
🐱	U+1F431	&#x1F431;	&#128049;	F0 9F 90 B1	\u1F431	Cat Face
🐲	U+1F432	&#x1F432;	&#128050;	F0 9F 90 B2	\u1F432	Dragon Face
🐳	U+1F433	&#x1F433;	&#128051;	F0 9F 90 B3	\u1F433	Spouting Whale
🐴	U+1F434	&#x1F434;	&#128052;	F0 9F 90 B4	\u1F434	Horse Face
🐵	U+1F435	&#x1F435;	&#128053;	F0 9F 90 B5	\u1F435	Monkey Face
🐶	U+1F436	&#x1F436;	&#128054;	F0 9F 90 B6	\u1F436	Dog Face
🐷	U+1F437	&#x1F437;	&#128055;	F0 9F 90 B7	\u1F437	Pig Face
🐸	U+1F438	&#x1F438;	&#128056;	F0 9F 90 B8	\u1F438	Frog Face
🐹	U+1F439	&#x1F439;	&#128057;	F0 9F 90 B9	\u1F439	Hamster Face
🐺	U+1F43A	&#x1F43A;	&#128058;	F0 9F 90 BA	\u1F43A	Wolf Face
🐻	U+1F43B	&#x1F43B;	&#128059;	F0 9F 90 BB	\u1F43B	Bear Face
🐼	U+1F43C	&#x1F43C;	&#128060;	F0 9F 90 BC	\u1F43C	Panda Face
🐽	U+1F43D	&#x1F43D;	&#128061;	F0 9F 90 BD	\u1F43D	Pig Nose
🐾	U+1F43E	&#x1F43E;	&#128062;	F0 9F 90 BE	\u1F43E	Paw Prints
👀	U+1F440	&#x1F440;	&#128064;	F0 9F 91 80	\u1F440	Eyes
👂	U+1F442	&#x1F442;	&#128066;	F0 9F 91 82	\u1F442	Ear
👃	U+1F443	&#x1F443;	&#128067;	F0 9F 91 83	\u1F443	Nose
👄	U+1F444	&#x1F444;	&#128068;	F0 9F 91 84	\u1F444	Mouth
👅	U+1F445	&#x1F445;	&#128069;	F0 9F 91 85	\u1F445	Tongue
👆	U+1F446	&#x1F446;	&#128070;	F0 9F 91 86	\u1F446	White Up Pointing Backhand Index
👇	U+1F447	&#x1F447;	&#128071;	F0 9F 91 87	\u1F447	White Down Pointing Backhand Index
👈	U+1F448	&#x1F448;	&#128072;	F0 9F 91 88	\u1F448	White Left Pointing Backhand Index
👉	U+1F449	&#x1F449;	&#128073;	F0 9F 91 89	\u1F449	White Right Pointing Backhand Index
👊	U+1F44A	&#x1F44A;	&#128074;	F0 9F 91 8A	\u1F44A	Fisted Hand Sign
👋	U+1F44B	&#x1F44B;	&#128075;	F0 9F 91 8B	\u1F44B	Waving Hand Sign
👌	U+1F44C	&#x1F44C;	&#128076;	F0 9F 91 8C	\u1F44C	Ok Hand Sign
👍	U+1F44D	&#x1F44D;	&#128077;	F0 9F 91 8D	\u1F44D	Thumbs Up Sign
👎	U+1F44E	&#x1F44E;	&#128078;	F0 9F 91 8E	\u1F44E	Thumbs Down Sign
👏	U+1F44F	&#x1F44F;	&#128079;	F0 9F 91 8F	\u1F44F	Clapping Hands Sign
👐	U+1F450	&#x1F450;	&#128080;	F0 9F 91 90	\u1F450	Open Hands Sign
👑	U+1F451	&#x1F451;	&#128081;	F0 9F 91 91	\u1F451	Crown
👒	U+1F452	&#x1F452;	&#128082;	F0 9F 91 92	\u1F452	Womans Hat
👓	U+1F453	&#x1F453;	&#128083;	F0 9F 91 93	\u1F453	Eyeglasses
👔	U+1F454	&#x1F454;	&#128084;	F0 9F 91 94	\u1F454	Necktie
👕	U+1F455	&#x1F455;	&#128085;	F0 9F 91 95	\u1F455	T-shirt
👖	U+1F456	&#x1F456;	&#128086;	F0 9F 91 96	\u1F456	Jeans
👗	U+1F457	&#x1F457;	&#128087;	F0 9F 91 97	\u1F457	Dress
👘	U+1F458	&#x1F458;	&#128088;	F0 9F 91 98	\u1F458	Kimono
